,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
2767,"Wilson County, TX",48198,145
2768,"Winkler County, TX",7802,113
2769,"Wise County, TX",64639,276
2770,"Wood County, TX",43815,321
2771,"Yoakum County, TX",8571,11
2772,"Young County, TX",18114,145
2773,"Zapata County, TX",14369,0
2774,"Zavala County, TX",12131,0
2775,"Beaver County, UT",6443,62
2776,"Box Elder County, UT",53001,647
2777,"Cache County, UT",122336,563
2778,"Carbon County, UT",20356,172
2779,"Daggett County, UT",612,8
2780,"Davis County, UT",340621,1453
2781,"Duchesne County, UT",20219,802
2782,"Emery County, UT",10248,75
2783,"Garfield County, UT",5017,164
2784,"Grand County, UT",9616,297
2785,"Iron County, UT",49691,1173
2786,"Juab County, UT",10948,125
2787,"Kane County, UT",7350,105
2788,"Millard County, UT",12733,150
2789,"Morgan County, UT",11391,9
2790,"Piute County, UT",1904,2
2791,"Rich County, UT",2350,0
2792,"Salt Lake County, UT",1120805,8616
2793,"San Juan County, UT",15281,7315
2794,"Sanpete County, UT",29366,301
2795,"Sevier County, UT",21118,379
2796,"Summit County, UT",40511,101
2797,"Tooele County, UT",65185,418
2798,"Uintah County, UT",36323,2731
2799,"Utah County, UT",590440,2843
2800,"Wasatch County, UT",30523,34
2801,"Washington County, UT",160537,2392
2802,"Wayne County, UT",2694,8
2803,"Weber County, UT",247731,1712
2804,"Addison County, VT",36939,124
2805,"Bennington County, VT",35920,62
2806,"Caledonia County, VT",30425,69
2807,"Chittenden County, VT",162052,432
2808,"Essex County, VT",6208,20
2809,"Franklin County, VT",49025,300
2810,"Grand Isle County, VT",6965,33
2811,"Lamoille County, VT",25268,196
2812,"Orange County, VT",28937,111
2813,"Orleans County, VT",26911,144
2814,"Rutland County, VT",59273,283
2815,"Washington County, VT",58477,199
2816,"Windham County, VT",43150,71
2817,"Windsor County, VT",55427,62
2818,"Accomack County, VA",32742,176
2819,"Albemarle County, VA",106355,209
2820,"Alleghany County, VA",15286,0
2821,"Amelia County, VA",12854,31
2822,"Amherst County, VA",31882,123
2823,"Appomattox County, VA",15577,12
2824,"Arlington County, VA",231803,870
2825,"Augusta County, VA",74701,184
2826,"Bath County, VA",4393,0
2827,"Bedford County, VA",77908,39
2828,"Bland County, VA",6447,0
2829,"Botetourt County, VA",33222,97
2830,"Brunswick County, VA",16665,26
2831,"Buchanan County, VA",22138,45
2832,"Buckingham County, VA",17004,106
2833,"Campbell County, VA",55170,76
2834,"Caroline County, VA",30184,47
2835,"Carroll County, VA",29738,111
2836,"Charles City County, VA",6995,453
2837,"Charlotte County, VA",12095,10
2838,"Chesterfield County, VA",339447,1072
2839,"Clarke County, VA",14365,6
2840,"Craig County, VA",5113,0
2841,"Culpeper County, VA",50450,213
2842,"Cumberland County, VA",9786,77
2843,"Dickenson County, VA",14960,4
2844,"Dinwiddie County, VA",28308,3
2845,"Essex County, VA",11036,103
2846,"Fairfax County, VA",1143529,2507
2847,"Fauquier County, VA",69115,254
2848,"Floyd County, VA",15666,70
2849,"Fluvanna County, VA",26282,45
2850,"Franklin County, VA",56233,140
2851,"Frederick County, VA",85153,223
2852,"Giles County, VA",16814,0
2853,"Gloucester County, VA",37161,81
2854,"Goochland County, VA",22482,27
2855,"Grayson County, VA",15811,39
2856,"Greene County, VA",19410,45
2857,"Greensville County, VA",11659,11
2858,"Halifax County, VA",34779,93
2859,"Hanover County, VA",104449,198
2860,"Henrico County, VA",325642,728
2861,"Henry County, VA",51588,49
2862,"Highland County, VA",2214,3
2863,"Isle of Wight County, VA",36372,99
2864,"James City County, VA",74153,138
2865,"King and Queen County, VA",7052,22
2866,"King George County, VA",25890,89
2867,"King William County, VA",16497,141
2868,"Lancaster County, VA",10804,0
2869,"Lee County, VA",24134,107
2870,"Loudoun County, VA",385143,996
2871,"Louisa County, VA",35380,83
2872,"Lunenburg County, VA",12278,14
2873,"Madison County, VA",13139,0
2874,"Mathews County, VA",8796,21
2875,"Mecklenburg County, VA",30847,63
2876,"Middlesex County, VA",10700,51
2877,"Montgomery County, VA",97997,368
2878,"Nelson County, VA",14812,47
2879,"New Kent County, VA",21103,204
2880,"Northampton County, VA",11957,4
2881,"Northumberland County, VA",12223,28
2882,"Nottoway County, VA",15500,15
2883,"Orange County, VA",35612,114
2884,"Page County, VA",23749,26
2885,"Patrick County, VA",17859,63
2886,"Pittsylvania County, VA",61676,40
2887,"Powhatan County, VA",28574,85
2888,"Prince Edward County, VA",22956,63
2889,"Prince George County, VA",37894,234
2890,"Prince William County, VA",456749,1645
2891,"Pulaski County, VA",34234,16
2892,"Rappahannock County, VA",7332,13
2893,"Richmond County, VA",8878,37
2894,"Roanoke County, VA",93583,91
2895,"Rockbridge County, VA",22509,75
2896,"Rockingham County, VA",79444,257
2897,"Russell County, VA",27408,18
2898,"Scott County, VA",22009,57
2899,"Shenandoah County, VA",43045,38
2900,"Smyth County, VA",31059,11
2901,"Southampton County, VA",17939,69
2902,"Spotsylvania County, VA",131412,579
2903,"Stafford County, VA",144012,414
2904,"Surry County, VA",6600,2
2905,"Sussex County, VA",11486,31
2906,"Tazewell County, VA",42080,110
2907,"Warren County, VA",39449,112
2908,"Washington County, VA",54406,47
2909,"Westmoreland County, VA",17638,95
2910,"Wise County, VA",39025,44
2911,"Wythe County, VA",28940,52
2912,"York County, VA",67587,163
2913,"Alexandria city, VA",156505,276
2914,"Bristol city, VA",16843,0
2915,"Buena Vista city, VA",6399,6
2916,"Charlottesville city, VA",47042,145
2917,"Chesapeake city, VA",237820,428
2918,"Colonial Heights city, VA",17593,48
2919,"Covington city, VA",5582,0
2920,"Danville city, VA",41512,24
2921,"Emporia city, VA",5381,3
2922,"Fairfax city, VA",23865,45
2923,"Falls Church city, VA",14067,23
2924,"Franklin city, VA",8211,0
2925,"Fredericksburg city, VA",28469,56
2926,"Galax city, VA",6638,0
2927,"Hampton city, VA",135583,725
2928,"Harrisonburg city, VA",53391,14
2929,"Hopewell city, VA",22408,24
2930,"Lexington city, VA",7110,0
2931,"Lynchburg city, VA",80131,209
2932,"Manassas city, VA",41457,283
2933,"Manassas Park city, VA",16423,47
2934,"Martinsville city, VA",13101,89
2935,"Newport News city, VA",180145,426
2936,"Norfolk city, VA",245592,1006
2937,"Norton city, VA",3990,3
2938,"Petersburg city, VA",31827,79
2939,"Poquoson city, VA",12039,27
2940,"Portsmouth city, VA",95311,467
2941,"Radford city, VA",17630,4
2942,"Richmond city, VA",223787,937
2943,"Roanoke city, VA",99621,186
2944,"Salem city, VA",25519,34
2945,"Staunton city, VA",24452,71
2946,"Suffolk city, VA",89160,170
2947,"Virginia Beach city, VA",450135,1164
2948,"Waynesboro city, VA",21926,90
2949,"Williamsburg city, VA",14788,77
2950,"Winchester city, VA",27789,89
2951,"Adams County, WA",19452,715
2952,"Asotin County, WA",22337,294
2953,"Benton County, WA",194168,1335
2954,"Chelan County, WA",75757,545
2955,"Clallam County, WA",74487,3515
2956,"Clark County, WA",465384,2726
2957,"Columbia County, WA",4001,1
2958,"Cowlitz County, WA",105112,1561
2959,"Douglas County, WA",41371,324
2960,"Ferry County, WA",7576,1020
2961,"Franklin County, WA",90660,940
2962,"Garfield County, WA",2224,9
2963,"Grant County, WA",94860,1128
2964,"Grays Harbor County, WA",71967,3191
2965,"Island County, WA",81636,858
2966,"Jefferson County, WA",30856,639
2967,"King County, WA",2163257,13743
2968,"Kitsap County, WA",262475,2708
2969,"Kittitas County, WA",44825,340
2970,"Klickitat County, WA",21396,672
2971,"Lewis County, WA",76947,550
2972,"Lincoln County, WA",10435,138
2973,"Mason County, WA",62627,1748
2974,"Okanogan County, WA",41638,4073
2975,"Pacific County, WA",21281,302
2976,"Pend Oreille County, WA",13219,499
2977,"Pierce County, WA",859840,10829
2978,"San Juan County, WA",16473,146
2979,"Skagit County, WA",123907,2216
2980,"Skamania County, WA",11620,246
2981,"Snohomish County, WA",786620,6920
2982,"Spokane County, WA",497875,7248
2983,"Stevens County, WA",44214,2185
2984,"Thurston County, WA",274684,3939
2985,"Wahkiakum County, WA",4189,51
2986,"Walla Walla County, WA",60236,443
2987,"Whatcom County, WA",216812,6537
2988,"Whitman County, WA",48593,232
2989,"Yakima County, WA",249325,10482
2990,"Barbour County, WV",16730,59
2991,"Berkeley County, WV",113495,58
2992,"Boone County, WV",22817,8
2993,"Braxton County, WV",14282,0
2994,"Brooke County, WV",22772,1
2995,"Cabell County, WV",95318,171
2996,"Calhoun County, WV",7396,11
2997,"Clay County, WV",8785,12
2998,"Doddridge County, WV",8536,22
2999,"Fayette County, WV",44126,104
3000,"Gilmer County, WV",8205,29
3001,"Grant County, WV",11641,0
3002,"Greenbrier County, WV",35347,15
3003,"Hampshire County, WV",23363,80
3004,"Hancock County, WV",29680,79
3005,"Hardy County, WV",13842,77
3006,"Harrison County, WV",68209,39
3007,"Jackson County, WV",29018,246
3008,"Jefferson County, WV",56179,124
3009,"Kanawha County, WV",185710,322
3010,"Lewis County, WV",16276,38
3011,"Lincoln County, WV",21078,0
3012,"Logan County, WV",33801,129
3013,"McDowell County, WV",19217,24
3014,"Marion County, WV",56497,199
3015,"Marshall County, WV",31645,131
3016,"Mason County, WV",26939,22
3017,"Mercer County, WV",60486,146
3018,"Mineral County, WV",27278,3
3019,"Mingo County, WV",24741,16
3020,"Monongalia County, WV",105252,137
3021,"Monroe County, WV",13467,73
3022,"Morgan County, WV",17624,105
3023,"Nicholas County, WV",25324,98
3024,"Ohio County, WV",42547,90
3025,"Pendleton County, WV",7056,0
3026,"Pleasants County, WV",7507,0
3027,"Pocahontas County, WV",8531,0
3028,"Preston County, WV",33837,210
3029,"Putnam County, WV",56652,79
3030,"Raleigh County, WV",76232,290
3031,"Randolph County, WV",29065,110
3032,"Ritchie County, WV",9932,0
3033,"Roane County, WV",14205,27
3034,"Summers County, WV",13018,27
3035,"Taylor County, WV",16951,0
3036,"Tucker County, WV",7027,0
3037,"Tyler County, WV",8909,15
3038,"Upshur County, WV",24605,37
3039,"Wayne County, WV",40708,60
3040,"Webster County, WV",8518,0
3041,"Wetzel County, WV",15614,0
3042,"Wirt County, WV",5797,0
3043,"Wood County, WV",85556,142
3044,"Wyoming County, WV",21711,3
3045,"Adams County, WI",20073,156
3046,"Ashland County, WI",15712,1885
3047,"Barron County, WI",45252,338
3048,"Bayfield County, WI",14992,1489
3049,"Brown County, WI",259786,6380
3050,"Buffalo County, WI",13167,28
3051,"Burnett County, WI",15258,621
3052,"Calumet County, WI",49807,284
3053,"Chippewa County, WI",63635,102
3054,"Clark County, WI",34491,85
3055,"Columbia County, WI",56954,225
3056,"Crawford County, WI",16288,57
3057,"Dane County, WI",529843,1555
3058,"Dodge County, WI",87776,266
3059,"Door County, WI",27439,199
3060,"Douglas County, WI",43402,678
3061,"Dunn County, WI",44498,107
3062,"Eau Claire County, WI",102991,492
3063,"Florence County, WI",4337,18
3064,"Fond du Lac County, WI",102315,513
3065,"Forest County, WI",9018,1351
3066,"Grant County, WI",51828,65
3067,"Green County, WI",36864,94
3068,"Green Lake County, WI",18757,60
3069,"Iowa County, WI",23620,54
3070,"Iron County, WI",5715,56
3071,"Jackson County, WI",20506,1154
3072,"Jefferson County, WI",84652,105
3073,"Juneau County, WI",26419,410
3074,"Kenosha County, WI",168330,663
3075,"Kewaunee County, WI",20360,61
3076,"La Crosse County, WI",117850,397
3077,"Lafayette County, WI",16735,72
3078,"Langlade County, WI",19164,120
3079,"Lincoln County, WI",27848,111
3080,"Manitowoc County, WI",79407,401
3081,"Marathon County, WI",135264,356
3082,"Marinette County, WI",40537,199
3083,"Marquette County, WI",15207,67
3084,"Menominee County, WI",4579,3914
3085,"Milwaukee County, WI",954209,5552
3086,"Monroe County, WI",45502,480
3087,"Oconto County, WI",37556,336
3088,"Oneida County, WI",35345,463
3089,"Outagamie County, WI",184754,2969
3090,"Ozaukee County, WI",88284,237
3091,"Pepin County, WI",7262,10
3092,"Pierce County, WI",41603,73
3093,"Polk County, WI",43349,471
3094,"Portage County, WI",70599,262
3095,"Price County, WI",13490,134
3096,"Racine County, WI",195398,1127
3097,"Richland County, WI",17539,55
3098,"Rock County, WI",161769,398
3099,"Rusk County, WI",14183,55
3100,"St. Croix County, WI",87917,178
3101,"Sauk County, WI",63596,695
3102,"Sawyer County, WI",16370,2794
3103,"Shawano County, WI",41009,3060
3104,"Sheboygan County, WI",115205,279
3105,"Taylor County, WI",20356,50
3106,"Trempealeau County, WI",29438,105
3107,"Vernon County, WI",30516,64
3108,"Vilas County, WI",21593,1844
3109,"Walworth County, WI",103013,306
3110,"Washburn County, WI",15689,232
3111,"Washington County, WI",134535,294
3112,"Waukesha County, WI",398879,986
3113,"Waupaca County, WI",51444,245
3114,"Waushara County, WI",24116,104
3115,"Winnebago County, WI",169926,970
3116,"Wood County, WI",73274,406
3117,"Albany County, WY",38102,317
3118,"Big Horn County, WY",11901,155
3119,"Campbell County, WY",47708,416
3120,"Carbon County, WY",15477,263
3121,"Converse County, WY",13997,8
3122,"Crook County, WY",7410,137
3123,"Fremont County, WY",40076,8527
3124,"Goshen County, WY",13438,153
3125,"Hot Springs County, WY",4680,113
3126,"Johnson County, WY",8515,381
3127,"Laramie County, WY",97692,707
3128,"Lincoln County, WY",19011,100
3129,"Natrona County, WY",80610,866
3130,"Niobrara County, WY",2448,96
3131,"Park County, WY",29121,328
3132,"Platte County, WY",8673,7
3133,"Sheridan County, WY",30012,368
3134,"Sublette County, WY",9951,43
3135,"Sweetwater County, WY",44117,742
3136,"Teton County, WY",23059,77
3137,"Uinta County, WY",20609,160
3138,"Washakie County, WY",8129,52
3139,"Weston County, WY",7100,37
3140,,18181,25
3140,,18181,0
3140,,18181,115
3140,,18181,269
3140,,18181,18
3140,,18181,0
3140,,18181,255
3140,,18181,0
3140,,18181,0
3140,,18181,17
3140,,18181,267
3140,,18181,122
3140,,18181,239
3140,,18181,9
3140,,18181,0
3140,,18181,2945
3140,,18181,7
3140,,18181,68
3140,,18181,8
3140,,18181,0
3140,,18181,121
3140,,18181,0
3140,,18181,76
3140,,18181,0
3140,,18181,6
3140,,18181,0
3140,,18181,31
3140,,18181,0
3140,,18181,30
3140,,18181,0
3140,,18181,131
3140,,18181,231
3140,,18181,18
3140,,18181,0
3140,,18181,0
3140,,18181,163
3140,,18181,37
3140,,18181,47
3140,,18181,34
3140,,18181,38
3140,,18181,11
3140,,18181,12
3140,,18181,0
3140,,18181,0
3140,,18181,40
3140,,18181,20
3140,,18181,68
3140,,18181,18
3140,,18181,8
3140,,18181,173
3140,,18181,101
3140,,18181,36
3140,,18181,0
3140,,18181,0
3140,,18181,39
3140,,18181,47
3140,,18181,31
3140,,18181,202
3140,,18181,70
3140,,18181,0
3140,,18181,73
3140,,18181,44
3140,,18181,62
3140,,18181,37
3140,,18181,1336
3140,,18181,45
3140,,18181,0
3140,,18181,45
3140,,18181,248
3140,,18181,20
3140,,18181,84
3140,,18181,17
3140,,18181,24
3140,,18181,68
3140,,18181,7
3140,,18181,0
3140,,18181,39
3140,,18181,152
3141,,38643,25
3141,,38643,0
3141,,38643,115
3141,,38643,269
3141,,38643,18
3141,,38643,0
3141,,38643,255
3141,,38643,0
3141,,38643,0
3141,,38643,17
3141,,38643,267
3141,,38643,122
3141,,38643,239
3141,,38643,9
3141,,38643,0
3141,,38643,2945
3141,,38643,7
3141,,38643,68
3141,,38643,8
3141,,38643,0
3141,,38643,121
3141,,38643,0
3141,,38643,76
3141,,38643,0
3141,,38643,6
3141,,38643,0
3141,,38643,31
3141,,38643,0
3141,,38643,30
3141,,38643,0
3141,,38643,131
3141,,38643,231
3141,,38643,18
3141,,38643,0
3141,,38643,0
3141,,38643,163
3141,,38643,37
3141,,38643,47
3141,,38643,34
3141,,38643,38
3141,,38643,11
3141,,38643,12
3141,,38643,0
3141,,38643,0
3141,,38643,40
3141,,38643,20
3141,,38643,68
3141,,38643,18
3141,,38643,8
3141,,38643,173
3141,,38643,101
3141,,38643,36
3141,,38643,0
3141,,38643,0
3141,,38643,39
3141,,38643,47
3141,,38643,31
3141,,38643,202
3141,,38643,70
3141,,38643,0
3141,,38643,73
3141,,38643,44
3141,,38643,62
3141,,38643,37
3141,,38643,1336
3141,,38643,45
3141,,38643,0
3141,,38643,45
3141,,38643,248
3141,,38643,20
3141,,38643,84
3141,,38643,17
3141,,38643,24
3141,,38643,68
3141,,38643,7
3141,,38643,0
3141,,38643,39
3141,,38643,152
3142,,54166,25
3142,,54166,0
3142,,54166,115
3142,,54166,269
3142,,54166,18
3142,,54166,0
3142,,54166,255
3142,,54166,0
3142,,54166,0
3142,,54166,17
3142,,54166,267
3142,,54166,122
3142,,54166,239
3142,,54166,9
3142,,54166,0
3142,,54166,2945
3142,,54166,7
3142,,54166,68
3142,,54166,8
3142,,54166,0
3142,,54166,121
3142,,54166,0
3142,,54166,76
3142,,54166,0
3142,,54166,6
3142,,54166,0
3142,,54166,31
3142,,54166,0
3142,,54166,30
3142,,54166,0
3142,,54166,131
3142,,54166,231
3142,,54166,18
3142,,54166,0
3142,,54166,0
3142,,54166,163
3142,,54166,37
3142,,54166,47
3142,,54166,34
3142,,54166,38
3142,,54166,11
3142,,54166,12
3142,,54166,0
3142,,54166,0
3142,,54166,40
3142,,54166,20
3142,,54166,68
3142,,54166,18
3142,,54166,8
3142,,54166,173
3142,,54166,101
3142,,54166,36
3142,,54166,0
3142,,54166,0
3142,,54166,39
3142,,54166,47
3142,,54166,31
3142,,54166,202
3142,,54166,70
3142,,54166,0
3142,,54166,73
3142,,54166,44
3142,,54166,62
3142,,54166,37
3142,,54166,1336
3142,,54166,45
3142,,54166,0
3142,,54166,45
3142,,54166,248
3142,,54166,20
3142,,54166,84
3142,,54166,17
3142,,54166,24
3142,,54166,68
3142,,54166,7
3142,,54166,0
3142,,54166,39
3142,,54166,152
3143,,26275,25
3143,,26275,0
3143,,26275,115
3143,,26275,269
3143,,26275,18
3143,,26275,0
3143,,26275,255
3143,,26275,0
3143,,26275,0
3143,,26275,17
3143,,26275,267
3143,,26275,122
3143,,26275,239
3143,,26275,9
3143,,26275,0
3143,,26275,2945
3143,,26275,7
3143,,26275,68
3143,,26275,8
3143,,26275,0
3143,,26275,121
3143,,26275,0
3143,,26275,76
3143,,26275,0
3143,,26275,6
3143,,26275,0
3143,,26275,31
3143,,26275,0
3143,,26275,30
3143,,26275,0
3143,,26275,131
3143,,26275,231
3143,,26275,18
3143,,26275,0
3143,,26275,0
3143,,26275,163
3143,,26275,37
3143,,26275,47
3143,,26275,34
3143,,26275,38
3143,,26275,11
3143,,26275,12
3143,,26275,0
3143,,26275,0
3143,,26275,40
3143,,26275,20
3143,,26275,68
3143,,26275,18
3143,,26275,8
3143,,26275,173
3143,,26275,101
3143,,26275,36
3143,,26275,0
3143,,26275,0
3143,,26275,39
3143,,26275,47
3143,,26275,31
3143,,26275,202
3143,,26275,70
3143,,26275,0
3143,,26275,73
3143,,26275,44
3143,,26275,62
3143,,26275,37
3143,,26275,1336
3143,,26275,45
3143,,26275,0
3143,,26275,45
3143,,26275,248
3143,,26275,20
3143,,26275,84
3143,,26275,17
3143,,26275,24
3143,,26275,68
3143,,26275,7
3143,,26275,0
3143,,26275,39
3143,,26275,152
3144,,23457,25
3144,,23457,0
3144,,23457,115
3144,,23457,269
3144,,23457,18
3144,,23457,0
3144,,23457,255
3144,,23457,0
3144,,23457,0
3144,,23457,17
3144,,23457,267
3144,,23457,122
3144,,23457,239
3144,,23457,9
3144,,23457,0
3144,,23457,2945
3144,,23457,7
3144,,23457,68
3144,,23457,8
3144,,23457,0
3144,,23457,121
3144,,23457,0
3144,,23457,76
3144,,23457,0
3144,,23457,6
3144,,23457,0
3144,,23457,31
3144,,23457,0
3144,,23457,30
3144,,23457,0
3144,,23457,131
3144,,23457,231
3144,,23457,18
3144,,23457,0
3144,,23457,0
3144,,23457,163
3144,,23457,37
3144,,23457,47
3144,,23457,34
3144,,23457,38
3144,,23457,11
3144,,23457,12
3144,,23457,0
3144,,23457,0
3144,,23457,40
3144,,23457,20
3144,,23457,68
3144,,23457,18
3144,,23457,8
3144,,23457,173
3144,,23457,101
3144,,23457,36
3144,,23457,0
3144,,23457,0
3144,,23457,39
3144,,23457,47
3144,,23457,31
3144,,23457,202
3144,,23457,70
3144,,23457,0
3144,,23457,73
3144,,23457,44
3144,,23457,62
3144,,23457,37
3144,,23457,1336
3144,,23457,45
3144,,23457,0
3144,,23457,45
3144,,23457,248
3144,,23457,20
3144,,23457,84
3144,,23457,17
3144,,23457,24
3144,,23457,68
3144,,23457,7
3144,,23457,0
3144,,23457,39
3144,,23457,152
3145,,27368,25
3145,,27368,0
3145,,27368,115
3145,,27368,269
3145,,27368,18
3145,,27368,0
3145,,27368,255
3145,,27368,0
3145,,27368,0
3145,,27368,17
3145,,27368,267
3145,,27368,122
3145,,27368,239
3145,,27368,9
3145,,27368,0
3145,,27368,2945
3145,,27368,7
3145,,27368,68
3145,,27368,8
3145,,27368,0
3145,,27368,121
3145,,27368,0
3145,,27368,76
3145,,27368,0
3145,,27368,6
3145,,27368,0
3145,,27368,31
3145,,27368,0
3145,,27368,30
3145,,27368,0
3145,,27368,131
3145,,27368,231
3145,,27368,18
3145,,27368,0
3145,,27368,0
3145,,27368,163
3145,,27368,37
3145,,27368,47
3145,,27368,34
3145,,27368,38
3145,,27368,11
3145,,27368,12
3145,,27368,0
3145,,27368,0
3145,,27368,40
3145,,27368,20
3145,,27368,68
3145,,27368,18
3145,,27368,8
3145,,27368,173
3145,,27368,101
3145,,27368,36
3145,,27368,0
3145,,27368,0
3145,,27368,39
3145,,27368,47
3145,,27368,31
3145,,27368,202
3145,,27368,70
3145,,27368,0
3145,,27368,73
3145,,27368,44
3145,,27368,62
3145,,27368,37
3145,,27368,1336
3145,,27368,45
3145,,27368,0
3145,,27368,45
3145,,27368,248
3145,,27368,20
3145,,27368,84
3145,,27368,17
3145,,27368,24
3145,,27368,68
3145,,27368,7
3145,,27368,0
3145,,27368,39
3145,,27368,152
3146,,87242,25
3146,,87242,0
3146,,87242,115
3146,,87242,269
3146,,87242,18
3146,,87242,0
3146,,87242,255
3146,,87242,0
3146,,87242,0
3146,,87242,17
3146,,87242,267
3146,,87242,122
3146,,87242,239
3146,,87242,9
3146,,87242,0
3146,,87242,2945
3146,,87242,7
3146,,87242,68
3146,,87242,8
3146,,87242,0
3146,,87242,121
3146,,87242,0
3146,,87242,76
3146,,87242,0
3146,,87242,6
3146,,87242,0
3146,,87242,31
3146,,87242,0
3146,,87242,30
3146,,87242,0
3146,,87242,131
3146,,87242,231
3146,,87242,18
3146,,87242,0
3146,,87242,0
3146,,87242,163
3146,,87242,37
3146,,87242,47
3146,,87242,34
3146,,87242,38
3146,,87242,11
3146,,87242,12
3146,,87242,0
3146,,87242,0
3146,,87242,40
3146,,87242,20
3146,,87242,68
3146,,87242,18
3146,,87242,8
3146,,87242,173
3146,,87242,101
3146,,87242,36
3146,,87242,0
3146,,87242,0
3146,,87242,39
3146,,87242,47
3146,,87242,31
3146,,87242,202
3146,,87242,70
3146,,87242,0
3146,,87242,73
3146,,87242,44
3146,,87242,62
3146,,87242,37
3146,,87242,1336
3146,,87242,45
3146,,87242,0
3146,,87242,45
3146,,87242,248
3146,,87242,20
3146,,87242,84
3146,,87242,17
3146,,87242,24
3146,,87242,68
3146,,87242,7
3146,,87242,0
3146,,87242,39
3146,,87242,152
3147,,18111,25
3147,,18111,0
3147,,18111,115
3147,,18111,269
3147,,18111,18
3147,,18111,0
3147,,18111,255
3147,,18111,0
3147,,18111,0
3147,,18111,17
3147,,18111,267
3147,,18111,122
3147,,18111,239
3147,,18111,9
3147,,18111,0
3147,,18111,2945
3147,,18111,7
3147,,18111,68
3147,,18111,8
3147,,18111,0
3147,,18111,121
3147,,18111,0
3147,,18111,76
3147,,18111,0
3147,,18111,6
3147,,18111,0
3147,,18111,31
3147,,18111,0
3147,,18111,30
3147,,18111,0
3147,,18111,131
3147,,18111,231
3147,,18111,18
3147,,18111,0
3147,,18111,0
3147,,18111,163
3147,,18111,37
3147,,18111,47
3147,,18111,34
3147,,18111,38
3147,,18111,11
3147,,18111,12
3147,,18111,0
3147,,18111,0
3147,,18111,40
3147,,18111,20
3147,,18111,68
3147,,18111,18
3147,,18111,8
3147,,18111,173
3147,,18111,101
3147,,18111,36
3147,,18111,0
3147,,18111,0
3147,,18111,39
3147,,18111,47
3147,,18111,31
3147,,18111,202
3147,,18111,70
3147,,18111,0
3147,,18111,73
3147,,18111,44
3147,,18111,62
3147,,18111,37
3147,,18111,1336
3147,,18111,45
3147,,18111,0
3147,,18111,45
3147,,18111,248
3147,,18111,20
3147,,18111,84
3147,,18111,17
3147,,18111,24
3147,,18111,68
3147,,18111,7
3147,,18111,0
3147,,18111,39
3147,,18111,152
3148,,24299,25
3148,,24299,0
3148,,24299,115
3148,,24299,269
3148,,24299,18
3148,,24299,0
3148,,24299,255
3148,,24299,0
3148,,24299,0
3148,,24299,17
3148,,24299,267
3148,,24299,122
3148,,24299,239
3148,,24299,9
3148,,24299,0
3148,,24299,2945
3148,,24299,7
3148,,24299,68
3148,,24299,8
3148,,24299,0
3148,,24299,121
3148,,24299,0
3148,,24299,76
3148,,24299,0
3148,,24299,6
3148,,24299,0
3148,,24299,31
3148,,24299,0
3148,,24299,30
3148,,24299,0
3148,,24299,131
3148,,24299,231
3148,,24299,18
3148,,24299,0
3148,,24299,0
3148,,24299,163
3148,,24299,37
3148,,24299,47
3148,,24299,34
3148,,24299,38
3148,,24299,11
3148,,24299,12
3148,,24299,0
3148,,24299,0
3148,,24299,40
3148,,24299,20
3148,,24299,68
3148,,24299,18
3148,,24299,8
3148,,24299,173
3148,,24299,101
3148,,24299,36
3148,,24299,0
3148,,24299,0
3148,,24299,39
3148,,24299,47
3148,,24299,31
3148,,24299,202
3148,,24299,70
3148,,24299,0
3148,,24299,73
3148,,24299,44
3148,,24299,62
3148,,24299,37
3148,,24299,1336
3148,,24299,45
3148,,24299,0
3148,,24299,45
3148,,24299,248
3148,,24299,20
3148,,24299,84
3148,,24299,17
3148,,24299,24
3148,,24299,68
3148,,24299,7
3148,,24299,0
3148,,24299,39
3148,,24299,152
3149,,28755,25
3149,,28755,0
3149,,28755,115
3149,,28755,269
3149,,28755,18
3149,,28755,0
3149,,28755,255
3149,,28755,0
3149,,28755,0
3149,,28755,17
3149,,28755,267
3149,,28755,122
3149,,28755,239
3149,,28755,9
3149,,28755,0
3149,,28755,2945
3149,,28755,7
3149,,28755,68
3149,,28755,8
3149,,28755,0
3149,,28755,121
3149,,28755,0
3149,,28755,76
3149,,28755,0
3149,,28755,6
3149,,28755,0
3149,,28755,31
3149,,28755,0
3149,,28755,30
3149,,28755,0
3149,,28755,131
3149,,28755,231
3149,,28755,18
3149,,28755,0
3149,,28755,0
3149,,28755,163
3149,,28755,37
3149,,28755,47
3149,,28755,34
3149,,28755,38
3149,,28755,11
3149,,28755,12
3149,,28755,0
3149,,28755,0
3149,,28755,40
3149,,28755,20
3149,,28755,68
3149,,28755,18
3149,,28755,8
3149,,28755,173
3149,,28755,101
3149,,28755,36
3149,,28755,0
3149,,28755,0
3149,,28755,39
3149,,28755,47
3149,,28755,31
3149,,28755,202
3149,,28755,70
3149,,28755,0
3149,,28755,73
3149,,28755,44
3149,,28755,62
3149,,28755,37
3149,,28755,1336
3149,,28755,45
3149,,28755,0
3149,,28755,45
3149,,28755,248
3149,,28755,20
3149,,28755,84
3149,,28755,17
3149,,28755,24
3149,,28755,68
3149,,28755,7
3149,,28755,0
3149,,28755,39
3149,,28755,152
3150,,182955,25
3150,,182955,0
3150,,182955,115
3150,,182955,269
3150,,182955,18
3150,,182955,0
3150,,182955,255
3150,,182955,0
3150,,182955,0
