,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
245,"Alamosa County, CO",16444,526
246,"Arapahoe County, CO",636671,4184
247,"Archuleta County, CO",12908,192
248,"Baca County, CO",3563,57
249,"Bent County, CO",5809,72
250,"Boulder County, CO",321030,1715
251,"Broomfield County, CO",66120,353
252,"Chaffee County, CO",19164,42
253,"Cheyenne County, CO",2039,3
254,"Clear Creek County, CO",9379,30
255,"Conejos County, CO",8142,207
256,"Costilla County, CO",3687,80
257,"Crowley County, CO",5630,85
258,"Custer County, CO",4640,44
259,"Delta County, CO",30346,329
260,"Denver County, CO",693417,6833
261,"Dolores County, CO",1841,13
262,"Douglas County, CO",328614,1075
263,"Eagle County, CO",54357,155
264,"Elbert County, CO",25162,222
265,"El Paso County, CO",688153,4622
266,"Fremont County, CO",47002,665
267,"Garfield County, CO",58538,404
268,"Gilpin County, CO",5924,171
269,"Grand County, CO",15066,11
270,"Gunnison County, CO",16537,162
271,"Hinsdale County, CO",878,24
272,"Huerfano County, CO",6583,115
273,"Jackson County, CO",1296,0
274,"Jefferson County, CO",570427,4162
275,"Kiowa County, CO",1449,0
276,"Kit Carson County, CO",7635,33
277,"Lake County, CO",7585,44
278,"La Plata County, CO",55101,3435
279,"Larimer County, CO",338161,2322
280,"Las Animas County, CO",14179,506
281,"Lincoln County, CO",5548,55
282,"Logan County, CO",21689,105
283,"Mesa County, CO",149998,1283
284,"Mineral County, CO",823,9
285,"Moffat County, CO",13060,104
286,"Montezuma County, CO",25909,3248
287,"Montrose County, CO",41268,429
288,"Morgan County, CO",28257,112
289,"Otero County, CO",18325,293
290,"Ouray County, CO",4722,50
291,"Park County, CO",17392,291
292,"Phillips County, CO",4318,11
293,"Pitkin County, CO",17909,22
294,"Prowers County, CO",12052,160
295,"Pueblo County, CO",164685,6141
296,"Rio Blanco County, CO",6465,39
297,"Rio Grande County, CO",11351,306
298,"Routt County, CO",24874,150
299,"Saguache County, CO",6468,170
300,"San Juan County, CO",544,7
301,"San Miguel County, CO",7968,42
302,"Sedgwick County, CO",2350,17
303,"Summit County, CO",30429,75
304,"Teller County, CO",24113,110
305,"Washington County, CO",4840,14
306,"Weld County, CO",295123,2032
307,"Yuma County, CO",10069,51
308,"Fairfield County, CT",944348,2338
309,"Hartford County, CT",894730,2945
310,"Litchfield County, CT",183031,356
311,"Middlesex County, CT",163368,264
312,"New Haven County, CT",859339,1540
313,"New London County, CT",268881,1477
314,"Tolland County, CT",151269,67
315,"Windham County, CT",116538,711
316,"Kent County, DE",174822,1143
317,"New Castle County, DE",555133,1434
318,"Sussex County, DE",219540,878
319,"District of Columbia, DC",684498,1993
320,"Alachua County, FL",263148,975
321,"Baker County, FL",27785,67
322,"Bay County, FL",182482,1129
323,"Bradford County, FL",26979,104
324,"Brevard County, FL",576808,1942
325,"Broward County, FL",1909151,5207
326,"Calhoun County, FL",14444,157
327,"Charlotte County, FL",176954,464
328,"Citrus County, FL",143087,449
329,"Clay County, FL",207291,205
330,"Collier County, FL",363922,1012
331,"Columbia County, FL",69105,220
332,"DeSoto County, FL",36399,86
333,"Dixie County, FL",16437,38
334,"Duval County, FL",924229,2138
335,"Escambia County, FL",311522,1505
336,"Flagler County, FL",107139,167
337,"Franklin County, FL",11736,24
338,"Gadsden County, FL",46017,74
339,"Gilchrist County, FL",17615,31
340,"Glades County, FL",13363,532
341,"Gulf County, FL",16055,59
342,"Hamilton County, FL",14269,83
343,"Hardee County, FL",27228,45
344,"Hendry County, FL",40127,773
345,"Hernando County, FL",182696,561
346,"Highlands County, FL",102101,248
347,"Hillsborough County, FL",1378883,4336
348,"Holmes County, FL",19430,216
349,"Indian River County, FL",150984,411
350,"Jackson County, FL",48472,312
351,"Jefferson County, FL",14105,77
352,"Lafayette County, FL",8744,13
353,"Lake County, FL",335362,1416
354,"Lee County, FL",718679,1330
355,"Leon County, FL",288102,578
356,"Levy County, FL",39961,118
357,"Liberty County, FL",8365,90
358,"Madison County, FL",18474,70
359,"Manatee County, FL",373853,965
360,"Marion County, FL",348371,976
361,"Martin County, FL",157581,826
362,"Miami-Dade County, FL",2715516,4668
363,"Monroe County, FL",76325,114
364,"Nassau County, FL",80578,274
365,"Okaloosa County, FL",200737,1032
366,"Okeechobee County, FL",40572,334
367,"Orange County, FL",1321194,2888
368,"Osceola County, FL",338619,1526
369,"Palm Beach County, FL",1446277,2402
370,"Pasco County, FL",510593,1789
371,"Pinellas County, FL",957875,2693
372,"Polk County, FL",668671,2189
373,"Putnam County, FL",72766,212
374,"St. Johns County, FL",235503,852
375,"St. Lucie County, FL",305591,1063
376,"Santa Rosa County, FL",170442,900
377,"Sarasota County, FL",412144,698
378,"Seminole County, FL",455086,954
379,"Sumter County, FL",120999,371
380,"Suwannee County, FL",43924,66
381,"Taylor County, FL",22098,75
382,"Union County, FL",15239,111
383,"Volusia County, FL",527634,2132
384,"Wakulla County, FL",31877,38
385,"Walton County, FL",65858,400
386,"Washington County, FL",24566,308
387,"Appling County, GA",18454,72
388,"Atkinson County, GA",8265,60
389,"Bacon County, GA",11228,0
390,"Baker County, GA",3189,7
391,"Baldwin County, GA",45286,140
392,"Banks County, GA",18510,67
393,"Barrow County, GA",76887,134
394,"Bartow County, GA",103620,258
395,"Ben Hill County, GA",17154,0
396,"Berrien County, GA",19025,91
397,"Bibb County, GA",153490,275
398,"Bleckley County, GA",12775,9
399,"Brantley County, GA",18561,35
400,"Brooks County, GA",15622,0
401,"Bryan County, GA",35885,162
402,"Bulloch County, GA",74782,260
403,"Burke County, GA",22550,5
404,"Butts County, GA",23750,10
405,"Calhoun County, GA",6428,0
406,"Camden County, GA",52714,363
407,"Candler County, GA",10827,69
408,"Carroll County, GA",116022,977
409,"Catoosa County, GA",66299,220
410,"Charlton County, GA",12983,245
411,"Chatham County, GA",287049,778
412,"Chattahoochee County, GA",10767,37
413,"Chattooga County, GA",24817,29
414,"Cherokee County, GA",241910,864
415,"Clarke County, GA",124602,168
416,"Clay County, GA",3001,0
417,"Clayton County, GA",278666,571
418,"Clinch County, GA",6743,4
419,"Cobb County, GA",745057,1737
420,"Coffee County, GA",42961,79
421,"Colquitt County, GA",45606,246
422,"Columbia County, GA",147295,436
423,"Cook County, GA",17184,45
424,"Coweta County, GA",140516,307
425,"Crawford County, GA",12344,0
426,"Crisp County, GA",22846,0
427,"Dade County, GA",16227,0
428,"Dawson County, GA",23861,12
429,"Decatur County, GA",26833,19
430,"DeKalb County, GA",743187,5661
431,"Dodge County, GA",20919,2
432,"Dooly County, GA",13905,8
433,"Dougherty County, GA",91049,194
434,"Douglas County, GA",141840,168
435,"Early County, GA",10348,9
436,"Echols County, GA",3994,82
437,"Effingham County, GA",58689,75
438,"Elbert County, GA",19212,0
439,"Emanuel County, GA",22499,11
440,"Evans County, GA",10727,1
441,"Fannin County, GA",24925,88
442,"Fayette County, GA",111369,276
443,"Floyd County, GA",96824,177
444,"Forsyth County, GA",219880,415
445,"Franklin County, GA",22514,16
446,"Fulton County, GA",1021902,3837
447,"Gilmer County, GA",29922,523
448,"Glascock County, GA",3009,15
449,"Glynn County, GA",83974,360
450,"Gordon County, GA",56790,468
451,"Grady County, GA",24926,133
452,"Greene County, GA",16976,0
453,"Gwinnett County, GA",902298,3509
454,"Habersham County, GA",44289,45
455,"Hall County, GA",195961,472
456,"Hancock County, GA",8535,0
457,"Haralson County, GA",28956,91
458,"Harris County, GA",33590,41
459,"Hart County, GA",25631,10
460,"Heard County, GA",11677,2
461,"Henry County, GA",221307,149
462,"Houston County, GA",151682,629
463,"Irwin County, GA",9268,13
464,"Jackson County, GA",65755,81
465,"Jasper County, GA",13784,8
466,"Jeff Davis County, GA",14991,0
467,"Jefferson County, GA",15772,20
468,"Jenkins County, GA",8827,127
469,"Johnson County, GA",9730,0
470,"Jones County, GA",28548,56
471,"Lamar County, GA",18513,19
472,"Lanier County, GA",10366,28
473,"Laurens County, GA",47418,44
474,"Lee County, GA",29348,30
475,"Liberty County, GA",62108,285
476,"Lincoln County, GA",7799,4
477,"Long County, GA",18156,50
478,"Lowndes County, GA",114582,335
479,"Lumpkin County, GA",31951,203
480,"McDuffie County, GA",21498,0
481,"McIntosh County, GA",14120,16
482,"Macon County, GA",13480,27
483,"Madison County, GA",28900,82
484,"Marion County, GA",8484,14
485,"Meriwether County, GA",21113,30
486,"Miller County, GA",5836,45
487,"Mitchell County, GA",22432,48
488,"Monroe County, GA",27010,52
489,"Montgomery County, GA",9036,20
490,"Morgan County, GA",18235,37
491,"Murray County, GA",39557,46
492,"Muscogee County, GA",196670,811
493,"Newton County, GA",106497,323
494,"Oconee County, GA",37017,15
495,"Oglethorpe County, GA",14784,24
496,"Paulding County, GA",155840,468
497,"Peach County, GA",26966,32
498,"Pickens County, GA",30832,225
499,"Pierce County, GA",19164,59
500,"Pike County, GA",18082,0
501,"Polk County, GA",41621,201
502,"Pulaski County, GA",11295,17
503,"Putnam County, GA",21503,8
504,"Quitman County, GA",2276,0
505,"Rabun County, GA",16457,91
506,"Randolph County, GA",7087,0
507,"Richmond County, GA",201463,515
508,"Rockdale County, GA",89011,112
509,"Schley County, GA",5211,0
