,GEO_NAME,County_Population
313,"New London County, CT",268881
314,"Tolland County, CT",151269
315,"Windham County, CT",116538
316,"Kent County, DE",174822
317,"New Castle County, DE",555133
318,"Sussex County, DE",219540
319,"District of Columbia, DC",684498
320,"Alachua County, FL",263148
321,"Baker County, FL",27785
322,"Bay County, FL",182482
323,"Bradford County, FL",26979
324,"Brevard County, FL",576808
325,"Broward County, FL",1909151
326,"Calhoun County, FL",14444
327,"Charlotte County, FL",176954
328,"Citrus County, FL",143087
329,"Clay County, FL",207291
330,"Collier County, FL",363922
331,"Columbia County, FL",69105
332,"DeSoto County, FL",36399
333,"Dixie County, FL",16437
334,"Duval County, FL",924229
335,"Escambia County, FL",311522
336,"Flagler County, FL",107139
337,"Franklin County, FL",11736
338,"Gadsden County, FL",46017
339,"Gilchrist County, FL",17615
340,"Glades County, FL",13363
341,"Gulf County, FL",16055
342,"Hamilton County, FL",14269
343,"Hardee County, FL",27228
344,"Hendry County, FL",40127
345,"Hernando County, FL",182696
346,"Highlands County, FL",102101
347,"Hillsborough County, FL",1378883
348,"Holmes County, FL",19430
349,"Indian River County, FL",150984
350,"Jackson County, FL",48472
351,"Jefferson County, FL",14105
352,"Lafayette County, FL",8744
353,"Lake County, FL",335362
354,"Lee County, FL",718679
355,"Leon County, FL",288102
356,"Levy County, FL",39961
357,"Liberty County, FL",8365
358,"Madison County, FL",18474
359,"Manatee County, FL",373853
360,"Marion County, FL",348371
361,"Martin County, FL",157581
362,"Miami-Dade County, FL",2715516
363,"Monroe County, FL",76325
364,"Nassau County, FL",80578
365,"Okaloosa County, FL",200737
366,"Okeechobee County, FL",40572
367,"Orange County, FL",1321194
368,"Osceola County, FL",338619
369,"Palm Beach County, FL",1446277
370,"Pasco County, FL",510593
371,"Pinellas County, FL",957875
372,"Polk County, FL",668671
373,"Putnam County, FL",72766
374,"St. Johns County, FL",235503
375,"St. Lucie County, FL",305591
376,"Santa Rosa County, FL",170442
377,"Sarasota County, FL",412144
378,"Seminole County, FL",455086
379,"Sumter County, FL",120999
380,"Suwannee County, FL",43924
381,"Taylor County, FL",22098
382,"Union County, FL",15239
383,"Volusia County, FL",527634
384,"Wakulla County, FL",31877
385,"Walton County, FL",65858
386,"Washington County, FL",24566
387,"Appling County, GA",18454
388,"Atkinson County, GA",8265
389,"Bacon County, GA",11228
390,"Baker County, GA",3189
391,"Baldwin County, GA",45286
392,"Banks County, GA",18510
393,"Barrow County, GA",76887
394,"Bartow County, GA",103620
395,"Ben Hill County, GA",17154
396,"Berrien County, GA",19025
397,"Bibb County, GA",153490
398,"Bleckley County, GA",12775
399,"Brantley County, GA",18561
400,"Brooks County, GA",15622
401,"Bryan County, GA",35885
402,"Bulloch County, GA",74782
403,"Burke County, GA",22550
404,"Butts County, GA",23750
405,"Calhoun County, GA",6428
406,"Camden County, GA",52714
407,"Candler County, GA",10827
408,"Carroll County, GA",116022
409,"Catoosa County, GA",66299
410,"Charlton County, GA",12983
411,"Chatham County, GA",287049
412,"Chattahoochee County, GA",10767
413,"Chattooga County, GA",24817
414,"Cherokee County, GA",241910
415,"Clarke County, GA",124602
416,"Clay County, GA",3001
417,"Clayton County, GA",278666
418,"Clinch County, GA",6743
419,"Cobb County, GA",745057
420,"Coffee County, GA",42961
421,"Colquitt County, GA",45606
422,"Columbia County, GA",147295
423,"Cook County, GA",17184
424,"Coweta County, GA",140516
425,"Crawford County, GA",12344
426,"Crisp County, GA",22846
427,"Dade County, GA",16227
428,"Dawson County, GA",23861
429,"Decatur County, GA",26833
430,"DeKalb County, GA",743187
431,"Dodge County, GA",20919
432,"Dooly County, GA",13905
433,"Dougherty County, GA",91049
434,"Douglas County, GA",141840
435,"Early County, GA",10348
436,"Echols County, GA",3994
437,"Effingham County, GA",58689
438,"Elbert County, GA",19212
439,"Emanuel County, GA",22499
440,"Evans County, GA",10727
441,"Fannin County, GA",24925
442,"Fayette County, GA",111369
443,"Floyd County, GA",96824
444,"Forsyth County, GA",219880
445,"Franklin County, GA",22514
446,"Fulton County, GA",1021902
447,"Gilmer County, GA",29922
448,"Glascock County, GA",3009
449,"Glynn County, GA",83974
450,"Gordon County, GA",56790
451,"Grady County, GA",24926
452,"Greene County, GA",16976
453,"Gwinnett County, GA",902298
454,"Habersham County, GA",44289
455,"Hall County, GA",195961
456,"Hancock County, GA",8535
457,"Haralson County, GA",28956
458,"Harris County, GA",33590
459,"Hart County, GA",25631
460,"Heard County, GA",11677
461,"Henry County, GA",221307
462,"Houston County, GA",151682
463,"Irwin County, GA",9268
464,"Jackson County, GA",65755
465,"Jasper County, GA",13784
466,"Jeff Davis County, GA",14991
467,"Jefferson County, GA",15772
468,"Jenkins County, GA",8827
469,"Johnson County, GA",9730
470,"Jones County, GA",28548
471,"Lamar County, GA",18513
472,"Lanier County, GA",10366
473,"Laurens County, GA",47418
474,"Lee County, GA",29348
475,"Liberty County, GA",62108
476,"Lincoln County, GA",7799
477,"Long County, GA",18156
478,"Lowndes County, GA",114582
479,"Lumpkin County, GA",31951
480,"McDuffie County, GA",21498
481,"McIntosh County, GA",14120
482,"Macon County, GA",13480
483,"Madison County, GA",28900
484,"Marion County, GA",8484
485,"Meriwether County, GA",21113
486,"Miller County, GA",5836
487,"Mitchell County, GA",22432
488,"Monroe County, GA",27010
489,"Montgomery County, GA",9036
490,"Morgan County, GA",18235
491,"Murray County, GA",39557
492,"Muscogee County, GA",196670
493,"Newton County, GA",106497
494,"Oconee County, GA",37017
495,"Oglethorpe County, GA",14784
496,"Paulding County, GA",155840
497,"Peach County, GA",26966
498,"Pickens County, GA",30832
499,"Pierce County, GA",19164
500,"Pike County, GA",18082
501,"Polk County, GA",41621
502,"Pulaski County, GA",11295
503,"Putnam County, GA",21503
504,"Quitman County, GA",2276
505,"Rabun County, GA",16457
506,"Randolph County, GA",7087
507,"Richmond County, GA",201463
508,"Rockdale County, GA",89011
509,"Schley County, GA",5211
510,"Screven County, GA",13990
511,"Seminole County, GA",8437
512,"Spalding County, GA",64719
513,"Stephens County, GA",25676
514,"Stewart County, GA",6042
515,"Sumter County, GA",30352
516,"Talbot County, GA",6378
517,"Taliaferro County, GA",1665
518,"Tattnall County, GA",25353
519,"Taylor County, GA",8193
520,"Telfair County, GA",16115
521,"Terrell County, GA",8859
522,"Thomas County, GA",44730
523,"Tift County, GA",40510
524,"Toombs County, GA",27048
525,"Towns County, GA",11417
526,"Treutlen County, GA",6777
527,"Troup County, GA",69774
528,"Turner County, GA",7962
529,"Twiggs County, GA",8284
530,"Union County, GA",22775
531,"Upson County, GA",26216
532,"Walker County, GA",68824
533,"Walton County, GA",90132
534,"Ware County, GA",35599
535,"Warren County, GA",5346
536,"Washington County, GA",20461
537,"Wayne County, GA",29767
538,"Webster County, GA",2613
539,"Wheeler County, GA",7939
540,"White County, GA",28928
541,"Whitfield County, GA",103849
542,"Wilcox County, GA",8846
543,"Wilkes County, GA",9884
544,"Wilkinson County, GA",9078
545,"Worth County, GA",20656
546,"Hawaii County, HI",197658
547,"Honolulu County, HI",987638
548,"Kauai County, HI",71377
549,"Maui County, HI",165281
550,"Ada County, ID",446052
551,"Adams County, ID",4019
552,"Bannock County, ID",85065
553,"Bear Lake County, ID",5962
554,"Benewah County, ID",9086
555,"Bingham County, ID",45551
556,"Blaine County, ID",21994
557,"Boise County, ID",7163
558,"Bonner County, ID",42711
559,"Bonneville County, ID",112397
560,"Boundary County, ID",11549
561,"Butte County, ID",2602
562,"Camas County, ID",886
563,"Canyon County, ID",212230
564,"Caribou County, ID",6918
565,"Cassia County, ID",23615
566,"Clark County, ID",1077
567,"Clearwater County, ID",8640
568,"Custer County, ID",4141
569,"Elmore County, ID",26433
570,"Franklin County, ID",13279
571,"Fremont County, ID",12965
572,"Gem County, ID",17052
573,"Gooding County, ID",15169
574,"Idaho County, ID",16337
575,"Jefferson County, ID",27969
576,"Jerome County, ID",23431
577,"Kootenai County, ID",153605
578,"Latah County, ID",39239
579,"Lemhi County, ID",7798
580,"Lewis County, ID",3845
581,"Lincoln County, ID",5321
582,"Madison County, ID",38705
583,"Minidoka County, ID",20615
584,"Nez Perce County, ID",40155
585,"Oneida County, ID",4326
586,"Owyhee County, ID",11455
587,"Payette County, ID",23041
588,"Power County, ID",7713
589,"Shoshone County, ID",12526
590,"Teton County, ID",11080
591,"Twin Falls County, ID",83666
592,"Valley County, ID",10401
593,"Washington County, ID",10025
594,"Adams County, IL",66427
595,"Alexander County, IL",6532
596,"Bond County, IL",16712
597,"Boone County, IL",53606
598,"Brown County, IL",6675
599,"Bureau County, IL",33381
600,"Calhoun County, IL",4858
601,"Carroll County, IL",14562
602,"Cass County, IL",12665
603,"Champaign County, IL",209448
604,"Christian County, IL",33231
605,"Clark County, IL",15836
606,"Clay County, IL",13338
607,"Clinton County, IL",37628
608,"Coles County, IL",51736
609,"Cook County, IL",5223719
610,"Crawford County, IL",19088
611,"Cumberland County, IL",10865
612,"DeKalb County, IL",104200
613,"De Witt County, IL",16042
614,"Douglas County, IL",19714
615,"DuPage County, IL",931743
616,"Edgar County, IL",17539
617,"Edwards County, IL",6507
618,"Effingham County, IL",34174
619,"Fayette County, IL",21724
620,"Ford County, IL",13398
621,"Franklin County, IL",39127
622,"Fulton County, IL",35418
623,"Gallatin County, IL",5157
624,"Greene County, IL",13218
625,"Grundy County, IL",50509
626,"Hamilton County, IL",8221
627,"Hancock County, IL",18112
628,"Hardin County, IL",4009
629,"Henderson County, IL",6884
630,"Henry County, IL",49464
631,"Iroquois County, IL",28169
632,"Jackson County, IL",58551
633,"Jasper County, IL",9598
634,"Jefferson County, IL",38169
635,"Jersey County, IL",22069
636,"Jo Daviess County, IL",21834
637,"Johnson County, IL",12602
638,"Kane County, IL",530839
639,"Kankakee County, IL",111061
640,"Kendall County, IL",124626
641,"Knox County, IL",50999
642,"Lake County, IL",703619
643,"LaSalle County, IL",110401
644,"Lawrence County, IL",16189
645,"Lee County, IL",34527
646,"Livingston County, IL",36324
647,"Logan County, IL",29207
648,"McDonough County, IL",30875
649,"McHenry County, IL",307789
650,"McLean County, IL",173219
651,"Macon County, IL",106512
652,"Macoupin County, IL",45719
653,"Madison County, IL",265670
654,"Marion County, IL",38084
655,"Marshall County, IL",11794
656,"Mason County, IL",13778
657,"Massac County, IL",14430
658,"Menard County, IL",12367
659,"Mercer County, IL",15693
660,"Monroe County, IL",33936
661,"Montgomery County, IL",29009
662,"Morgan County, IL",34426
663,"Moultrie County, IL",14703
