,GEO_NAME,County_Population,non_white_total,perc_non_white,predrt
1834,"Chemung County, NY",85740,6899,8.046419408,24.13
1835,"Chenango County, NY",48348,854,1.766360553,24.12
1836,"Clinton County, NY",80794,4892,6.054905067,22.39
1837,"Columbia County, NY",60919,3848,6.316584317,24.94
1838,"Cortland County, NY",48123,1219,2.533092284,25.53
1839,"Delaware County, NY",45502,1280,2.813063162,25.26
1840,"Dutchess County, NY",293894,42672,14.51952064,22.52
1841,"Erie County, NY",919866,160142,17.40927483,28.51
1842,"Essex County, NY",37751,1405,3.721755715,24.18
1843,"Franklin County, NY",50692,6932,13.67474158,23.82
1844,"Fulton County, NY",53743,1674,3.114824256,23.5
1845,"Genesee County, NY",58112,2291,3.942387115,20.38
1846,"Greene County, NY",47617,3738,7.850137556,24.86
1847,"Hamilton County, NY",4575,55,1.202185792,27.31
1848,"Herkimer County, NY",62505,1423,2.276617871,24.06
1849,"Jefferson County, NY",114448,9556,8.349643506,20.4
1850,"Kings County, NY",2600747,1163419,44.73403218,35.33
1851,"Lewis County, NY",26719,429,1.605599012,20.97
1852,"Livingston County, NY",63907,2788,4.362589388,19.93
1853,"Madison County, NY",71359,2418,3.388500399,21.71
1854,"Monroe County, NY",744248,143697,19.30767701,26.14
1855,"Montgomery County, NY",49426,1498,3.030793509,26.02
1856,"Nassau County, NY",1356564,288409,21.26025753,30.49
1857,"New York County, NY",1632480,446059,27.3240101,35.52
1858,"Niagara County, NY",211704,19700,9.305445339,26.38
1859,"Oneida County, NY",230782,24136,10.45835464,26.29
1860,"Onondaga County, NY",464242,72523,15.62180931,25.7
1861,"Ontario County, NY",109472,4749,4.338095586,20.77
1862,"Orange County, NY",378227,52420,13.85940189,21.85
1863,"Orleans County, NY",41175,3039,7.380692168,20.78
1864,"Oswego County, NY",119104,2413,2.025960505,22.07
1865,"Otsego County, NY",60244,2171,3.603678375,24.44
1866,"Putnam County, NY",99070,5129,5.177147471,16.64
1867,"Queens County, NY",2298513,1012824,44.06431462,36.11
1868,"Rensselaer County, NY",159431,14594,9.153803213,23.27
1869,"Richmond County, NY",474101,91295,19.25644536,32.58
1870,"Rockland County, NY",323686,59508,18.38448373,26.4
1871,"St. Lawrence County, NY",109558,4691,4.281750306,22.1
1872,"Saratoga County, NY",227377,10947,4.814471121,18.19
1873,"Schenectady County, NY",154883,23569,15.21729305,27.56
1874,"Schoharie County, NY",31364,883,2.815329677,23
1875,"Schuyler County, NY",17992,362,2.012005336,23.97
1876,"Seneca County, NY",34612,2084,6.021033168,25.04
1877,"Steuben County, NY",96927,3154,3.253995275,24.17
1878,"Suffolk County, NY",1487901,178825,12.01860876,23.08
1879,"Sullivan County, NY",75211,7686,10.21924984,24.18
1880,"Tioga County, NY",49045,777,1.584259354,20.86
1881,"Tompkins County, NY",102962,14913,14.48398438,19.99
1882,"Ulster County, NY",179303,14566,8.123678912,23.3
1883,"Warren County, NY",64480,1729,2.681451613,23.72
1884,"Washington County, NY",61828,2569,4.15507537,24.78
1885,"Wayne County, NY",90856,3459,3.80712336,20.5
1886,"Westchester County, NY",968815,204174,21.07461177,29.37
1887,"Wyoming County, NY",40565,2220,5.472698139,19.52
1888,"Yates County, NY",25009,475,1.899316246,25.3
1889,"Alamance County, NC",160576,33777,21.03489936,23.98
1890,"Alexander County, NC",37119,2688,7.241574396,24.56
1891,"Alleghany County, NC",10973,335,3.052948145,30.58
1892,"Anson County, NC",25306,12773,50.47419584,31.08
1893,"Ashe County, NC",26786,435,1.623982678,30.26
1894,"Avery County, NC",17501,1168,6.673904348,29.62
1895,"Beaufort County, NC",47243,12199,25.82181487,31.07
1896,"Bertie County, NC",19644,12356,62.89961311,34.47
1897,"Bladen County, NC",33778,12704,37.61027888,35.45
1898,"Brunswick County, NC",126860,14702,11.5891534,32.08
1899,"Buncombe County, NC",254474,20597,8.093950659,23.65
1900,"Burke County, NC",89712,9699,10.81126271,26.08
1901,"Cabarrus County, NC",201448,43256,21.47253882,17.74
1902,"Caldwell County, NC",81779,4809,5.880482765,25.21
1903,"Camden County, NC",10447,1668,15.96630612,21.95
1904,"Carteret County, NC",68920,4893,7.099535694,27.76
1905,"Caswell County, NC",22746,7752,34.08071749,32.1
1906,"Catawba County, NC",156729,19813,12.64156602,24.08
1907,"Chatham County, NC",69791,9345,13.38997865,28.13
1908,"Cherokee County, NC",27668,987,3.567297962,32.7
1909,"Chowan County, NC",14205,4977,35.03695882,32.05
1910,"Clay County, NC",10813,298,2.755941922,34.97
1911,"Cleveland County, NC",97159,21562,22.1924886,28.24
1912,"Columbus County, NC",56293,19767,35.11449026,33.63
1913,"Craven County, NC",103082,26108,25.32740925,26.5
1914,"Cumberland County, NC",332106,136411,41.07453644,20.6
1915,"Currituck County, NC",25796,1705,6.609551869,22.96
1916,"Dare County, NC",35741,1114,3.116868582,23.72
1917,"Davidson County, NC",164664,17988,10.92406355,23.59
1918,"Davie County, NC",41991,2753,6.556166798,23.73
1919,"Duplin County, NC",59062,14868,25.17354644,32.2
1920,"Durham County, NC",306457,129499,42.25682559,23.86
1921,"Edgecombe County, NC",53332,30757,57.67081677,29.39
1922,"Forsyth County, NC",371573,106881,28.76446889,24.03
1923,"Franklin County, NC",64902,17687,27.25185665,25.68
1924,"Gaston County, NC",216585,38879,17.95091996,21.19
1925,"Gates County, NC",11563,4054,35.06010551,24.17
1926,"Graham County, NC",8557,912,10.65794087,33.98
1927,"Granville County, NC",58874,18524,31.46380406,28.39
1928,"Greene County, NC",21008,7626,36.30045697,28.85
1929,"Guilford County, NC",523582,205259,39.20283738,24.49
1930,"Halifax County, NC",51737,29795,57.58934612,30.85
1931,"Harnett County, NC",130361,30010,23.0206887,23.74
1932,"Haywood County, NC",60433,1229,2.033657108,28.59
1933,"Henderson County, NC",113625,5761,5.070187019,27.65
1934,"Hertford County, NC",24153,14875,61.5865524,37.01
1935,"Hoke County, NC",53239,23049,43.29345029,20
1936,"Hyde County, NC",5393,1642,30.44687558,45.36
1937,"Iredell County, NC",172525,25902,15.01347631,20.19
1938,"Jackson County, NC",42256,4762,11.26940553,28.03
1939,"Johnston County, NC",191172,32395,16.94547319,21.86
1940,"Jones County, NC",9695,3089,31.86178442,31.85
1941,"Lee County, NC",60125,13054,21.71143451,25.6
1942,"Lenoir County, NC",57227,22991,40.17509218,31.17
1943,"Lincoln County, NC",81441,4847,5.951547746,22.69
1944,"McDowell County, NC",45109,2149,4.76401605,27.77
1945,"Macon County, NC",34410,949,2.75791921,32.09
1946,"Madison County, NC",21405,602,2.812427003,28.29
1947,"Martin County, NC",23054,10018,43.45449813,29.91
1948,"Mecklenburg County, NC",1054314,395412,37.50419704,20.94
1949,"Mitchell County, NC",15040,162,1.07712766,25.76
1950,"Montgomery County, NC",27338,5447,19.92464701,28.88
1951,"Moore County, NC",95629,14356,15.0121825,27.03
1952,"Nash County, NC",94003,38365,40.81252726,27.39
1953,"New Hanover County, NC",224231,35108,15.65706793,23.71
1954,"Northampton County, NC",20186,11573,57.33181413,35.78
1955,"Onslow County, NC",193912,32988,17.01184042,16.91
1956,"Orange County, NC",142938,28455,19.90723251,20.62
1957,"Pamlico County, NC",12742,2428,19.05509339,36.67
1958,"Pasquotank County, NC",39479,15173,38.43309101,28.45
1959,"Pender County, NC",59020,9306,15.76753643,25.77
1960,"Perquimans County, NC",13459,3402,25.27676648,31.51
1961,"Person County, NC",39305,10875,27.66823559,25.27
1962,"Pitt County, NC",177372,65345,36.84065129,26.19
1963,"Polk County, NC",20458,1159,5.665265422,33.7
1964,"Randolph County, NC",142958,11370,7.95338491,24.48
1965,"Richmond County, NC",45189,15898,35.18112815,27.87
1966,"Robeson County, NC",133442,85573,64.1274861,32.55
1967,"Rockingham County, NC",91270,17925,19.63953106,28.74
1968,"Rowan County, NC",139605,24037,17.21786469,24.35
1969,"Rutherford County, NC",66532,7099,10.67005351,28.49
1970,"Sampson County, NC",63561,17612,27.70881515,30.32
1971,"Scotland County, NC",35262,18094,51.31302819,32.4
1972,"Stanly County, NC",61114,8236,13.47645384,25.05
1973,"Stokes County, NC",45905,2337,5.090948698,26.24
1974,"Surry County, NC",72099,3539,4.908528551,28.74
