,ctname,Predrt_1_2
121870,"Golden Valley County, MT",45.28
121876,"Granite County, MT",48.47
121882,"Hill County, MT",49.08
121903,"Jefferson County, MT",47.13
121915,"Judith Basin County, MT",43.08
121921,"Lake County, MT",49.8
121948,"Lewis and Clark County, MT",46.06
121993,"Liberty County, MT",43.87
121999,"Lincoln County, MT",48.64
122017,"McCone County, MT",42.51
122023,"Madison County, MT",46.94
122035,"Meagher County, MT",50.96
122041,"Mineral County, MT",42.76
122050,"Missoula County, MT",56.25
122113,"Musselshell County, MT",46.61
122122,"Park County, MT",45.23
122143,"Petroleum County, MT",40.94
122149,"Phillips County, MT",49.24
122155,"Pondera County, MT",49.33
122164,"Powder River County, MT",42.07
122170,"Powell County, MT",42.17
122179,"Prairie County, MT",51.7
122185,"Ravalli County, MT",47.28
122218,"Richland County, MT",43.01
122233,"Roosevelt County, MT",47.1
122245,"Rosebud County, MT",50.08
122260,"Sanders County, MT",44.83
122272,"Sheridan County, MT",47.68
122281,"Silver Bow County, MT",56.15
122308,"Stillwater County, MT",46.15
122320,"Sweet Grass County, MT",55.63
122326,"Teton County, MT",39.74
122338,"Toole County, MT",42.42
122350,"Treasure County, MT",49.19
122356,"Valley County, MT",46.92
122368,"Wheatland County, MT",46.65
122374,"Wibaux County, MT",53.87
122380,"Yellowstone County, MT",53.46
122479,"Adams County, NE",52.51
122509,"Antelope County, NE",42.12
122521,"Arthur County, NE",40.0
122527,"Banner County, NE",49.18
122533,"Blaine County, NE",38.24
122539,"Boone County, NE",37.88
122548,"Box Butte County, NE",45.91
122560,"Boyd County, NE",39.69
122566,"Brown County, NE",40.46
122572,"Buffalo County, NE",49.97
122608,"Burt County, NE",39.15
122620,"Butler County, NE",39.85
122632,"Cass County, NE",46.76
122653,"Cedar County, NE",37.76
122662,"Chase County, NE",38.95
122668,"Cherry County, NE",43.23
122677,"Cheyenne County, NE",44.09
122689,"Clay County, NE",46.29
122698,"Colfax County, NE",47.88
122710,"Cuming County, NE",42.26
122722,"Custer County, NE",44.09
122737,"Dakota County, NE",56.72
122752,"Dawes County, NE",48.12
122761,"Dawson County, NE",54.06
122785,"Deuel County, NE",45.1
122791,"Dixon County, NE",45.68
122800,"Dodge County, NE",53.82
122830,"Douglas County, NE",59.68
123301,"Dundy County, NE",52.09
123307,"Fillmore County, NE",41.43
123316,"Franklin County, NE",42.46
123325,"Frontier County, NE",48.42
123331,"Furnas County, NE",49.61
123337,"Gage County, NE",41.27
123361,"Garden County, NE",42.91
123367,"Garfield County, NE",41.02
123373,"Gosper County, NE",40.68
123379,"Grant County, NE",45.76
123385,"Greeley County, NE",41.47
123391,"Hall County, NE",53.3
123436,"Hamilton County, NE",44.51
123448,"Harlan County, NE",39.79
123454,"Hayes County, NE",50.87
123460,"Hitchcock County, NE",39.76
123466,"Holt County, NE",44.19
123481,"Hooker County, NE",43.4
123487,"Howard County, NE",45.95
123496,"Jefferson County, NE",40.54
123508,"Johnson County, NE",39.9
123517,"Kearney County, NE",44.78
123526,"Keith County, NE",51.35
123538,"Keya Paha County, NE",43.7
123544,"Kimball County, NE",46.35
123550,"Knox County, NE",41.92
123562,"Lancaster County, NE",59.54
123787,"Lincoln County, NE",48.33
123814,"Logan County, NE",46.73
123820,"Loup County, NE",43.69
123826,"McPherson County, NE",51.22
123832,"Madison County, NE",50.2
123862,"Merrick County, NE",48.4
123874,"Morrill County, NE",45.02
123880,"Nance County, NE",43.01
123886,"Nemaha County, NE",49.72
123895,"Nuckolls County, NE",39.9
123904,"Otoe County, NE",44.32
123922,"Pawnee County, NE",44.15
123928,"Perkins County, NE",44.73
123934,"Phelps County, NE",41.53
123946,"Pierce County, NE",44.63
123955,"Platte County, NE",46.63
123979,"Polk County, NE",38.92
123988,"Red Willow County, NE",46.25
124000,"Richardson County, NE",41.03
124012,"Rock County, NE",43.31
124018,"Saline County, NE",45.13
124033,"Sarpy County, NE",56.61
124165,"Saunders County, NE",43.37
124183,"Scotts Bluff County, NE",51.13
124219,"Seward County, NE",45.17
124234,"Sheridan County, NE",37.46
124243,"Sherman County, NE",41.97
124249,"Sioux County, NE",44.23
124255,"Stanton County, NE",45.9
124264,"Thayer County, NE",45.81
124273,"Thomas County, NE",44.17
124279,"Thurston County, NE",55.36
124288,"Valley County, NE",45.97
124297,"Washington County, NE",41.75
124315,"Wayne County, NE",42.72
124324,"Webster County, NE",37.47
124333,"Wheeler County, NE",43.6
124339,"York County, NE",47.39
124354,"Churchill County, NV",49.22
124378,"Clark County, NV",61.57
125842,"Douglas County, NV",49.42
125896,"Elko County, NV",51.69
125941,"Esmeralda County, NV",41.82
125947,"Eureka County, NV",52.35
125953,"Humboldt County, NV",47.39
125968,"Lander County, NV",47.68
125974,"Lincoln County, NV",48.68
125983,"Lyon County, NV",52.36
126016,"Mineral County, NV",43.3
126025,"Nye County, NV",46.19
126058,"Pershing County, NV",52.19
126064,"Storey County, NV",49.3
126070,"Washoe County, NV",57.62
126409,"White Pine County, NV",51.68
126421,"Carson City, NV",57.72
126466,"Belknap County, NH",45.27
126514,"Carroll County, NH",44.98
126550,"Cheshire County, NH",48.03
126601,"Coos County, NH",44.59
126637,"Grafton County, NH",45.89
126697,"Hillsborough County, NH",48.87
126958,"Merrimack County, NH",47.37
127069,"Rockingham County, NH",43.9
127270,"Strafford County, NH",45.66
127348,"Sullivan County, NH",46.9
127381,"Atlantic County, NJ",47.79
127594,"Bergen County, NJ",61.14
128134,"Burlington County, NJ",48.36
128479,"Camden County, NJ",54.65
128863,"Cape May County, NJ",45.23
128965,"Cumberland County, NJ",46.17
129073,"Essex County, NJ",59.39
129706,"Gloucester County, NJ",46.05
129898,"Hudson County, NJ",66.74
130399,"Hunterdon County, NJ",40.29
130480,"Mercer County, NJ",50.84
130714,"Middlesex County, NJ",61.72
131242,"Monmouth County, NJ",47.6
131677,"Morris County, NJ",46.61
131980,"Ocean County, NJ",51.54
132361,"Passaic County, NJ",56.5
132664,"Salem County, NJ",46.53
132742,"Somerset County, NJ",50.06
132949,"Sussex County, NJ",43.74
133075,"Union County, NJ",62.42
133402,"Warren County, NJ",46.85
133474,"Bernalillo County, NM",59.09
133936,"Catron County, NM",42.43
133942,"Chaves County, NM",51.66
133993,"Cibola County, NM",54.76
134017,"Colfax County, NM",49.58
134029,"Curry County, NM",51.0
134068,"DeBaca County, NM",57.05
134074,"Dona Ana County, NM",52.64
134200,"Eddy County, NM",55.17
134239,"Grant County, NM",47.08
134266,"Guadalupe County, NM",44.66
134272,"Harding County, NM",48.55
134278,"Hidalgo County, NM",49.75
134287,"Lea County, NM",54.0
134344,"Lincoln County, NM",50.69
134362,"Los Alamos County, NM",41.95
134377,"Luna County, NM",50.35
134398,"McKinley County, NM",52.46
134452,"Mora County, NM",44.01
134458,"Otero County, NM",50.3
134509,"Quay County, NM",43.57
134521,"Rio Arriba County, NM",50.04
134551,"Roosevelt County, NM",53.34
134569,"Sandoval County, NM",54.2
134656,"San Juan County, NM",51.5
134758,"San Miguel County, NM",50.14
134782,"Santa Fe County, NM",51.68
134935,"Sierra County, NM",40.09
134950,"Socorro County, NM",47.79
134971,"Taos County, NM",49.82
134992,"Torrance County, NM",51.29
135007,"Union County, NM",41.69
135013,"Valencia County, NM",51.03
135070,"Albany County, NY",50.51
135298,"Allegany County, NY",41.56
135340,"Bronx County, NY",58.02
136360,"Broome County, NY",49.62
136528,"Cattaraugus County, NY",47.04
136594,"Cayuga County, NY",46.03
136657,"Chautauqua County, NY",46.86
136768,"Chemung County, NY",48.43
136837,"Chenango County, NY",48.04
136876,"Clinton County, NY",44.47
136936,"Columbia County, NY",47.23
137002,"Cortland County, NY",50.73
137041,"Delaware County, NY",44.05
137086,"Dutchess County, NY",46.14
137326,"Erie County, NY",52.88
138040,"Essex County, NY",43.84
138082,"Franklin County, NY",46.2
138127,"Fulton County, NY",50.63
138175,"Genesee County, NY",45.37
138223,"Greene County, NY",44.25
138271,"Hamilton County, NY",43.32
138286,"Herkimer County, NY",43.77
138346,"Jefferson County, NY",48.34
138427,"Kings County, NY",64.66
140713,"Lewis County, NY",46.42
140737,"Livingston County, NY",44.75
140785,"Madison County, NY",43.76
140836,"Monroe County, NY",48.07
141418,"Montgomery County, NY",49.16
141469,"Nassau County, NY",66.12
142324,"New York County, NY",64.48
143191,"Niagara County, NY",49.26
143380,"Oneida County, NY",48.52
143605,"Onondaga County, NY",48.32
144028,"Ontario County, NY",43.89
144106,"Orange County, NY",49.77
144346,"Orleans County, NY",45.6
144382,"Oswego County, NY",47.74
144475,"Otsego County, NY",47.06
144529,"Putnam County, NY",43.99
144589,"Queens County, NY",63.88
146599,"Rensselaer County, NY",49.3
146728,"Richmond County, NY",66.59
147061,"Rockland County, NY",53.95
147259,"St. Lawrence County, NY",46.03
147346,"Saratoga County, NY",42.04
147499,"Schenectady County, NY",52.44
147631,"Schoharie County, NY",45.53
147658,"Schuyler County, NY",44.27
147676,"Seneca County, NY",42.95
147709,"Steuben County, NY",47.4
147802,"Suffolk County, NY",53.54
148774,"Sullivan County, NY",45.74
148849,"Tioga County, NY",44.55
148882,"Tompkins County, NY",48.61
148954,"Ulster County, NY",45.43
149098,"Warren County, NY",46.69
149158,"Washington County, NY",43.3
149212,"Wayne County, NY",41.03
149284,"Westchester County, NY",56.56
149956,"Wyoming County, NY",44.08
149992,"Yates County, NY",43.16
150010,"Alamance County, NC",46.18
150121,"Alexander County, NC",48.32
150145,"Alleghany County, NC",44.89
150157,"Anson County, NC",45.94
150178,"Ashe County, NC",43.99
150199,"Avery County, NC",43.31
150217,"Beaufort County, NC",43.99
150253,"Bertie County, NC",44.66
150268,"Bladen County, NC",45.49
150289,"Brunswick County, NC",44.25
150391,"Buncombe County, NC",45.38
150562,"Burke County, NC",47.05
150619,"Cabarrus County, NC",46.94
150733,"Caldwell County, NC",48.09
150787,"Camden County, NC",45.75
150796,"Carteret County, NC",47.72
150916,"Caswell County, NC",45.1
150937,"Catawba County, NC",46.96
151033,"Chatham County, NC",45.45
151075,"Cherokee County, NC",44.04
151099,"Chowan County, NC",42.76
151111,"Clay County, NC",48.52
151120,"Cleveland County, NC",45.07
151189,"Columbus County, NC",42.64
151231,"Craven County, NC",49.08
151297,"Cumberland County, NC",51.78
151504,"Currituck County, NC",46.59
151531,"Dare County, NC",48.08
151567,"Davidson County, NC",47.24
151672,"Davie County, NC",47.91
151696,"Duplin County, NC",47.26
151732,"Durham County, NC",48.28
151915,"Edgecombe County, NC",47.06
151960,"Forsyth County, NC",47.17
152242,"Franklin County, NC",47.04
152281,"Gaston County, NC",47.74
152479,"Gates County, NC",48.18
152491,"Graham County, NC",41.3
152503,"Granville County, NC",46.95
152545,"Greene County, NC",48.22
152560,"Guilford County, NC",47.97
152920,"Halifax County, NC",47.41
152959,"Harnett County, NC",47.9
153043,"Haywood County, NC",45.91
153094,"Henderson County, NC",44.91
153178,"Hertford County, NC",45.18
153196,"Hoke County, NC",48.33
153226,"Hyde County, NC",38.86
153238,"Iredell County, NC",46.59
153373,"Jackson County, NC",47.54
153403,"Johnston County, NC",46.82
153481,"Jones County, NC",42.97
153493,"Lee County, NC",48.62
153535,"Lenoir County, NC",46.71
153583,"Lincoln County, NC",47.13
153640,"McDowell County, NC",44.8
153673,"Macon County, NC",45.05
153703,"Madison County, NC",46.86
153724,"Martin County, NC",47.5
153745,"Mecklenburg County, NC",48.8
154447,"Mitchell County, NC",46.61
154462,"Montgomery County, NC",45.46
154483,"Moore County, NC",45.14
154540,"Nash County, NC",46.1
154597,"New Hanover County, NC",46.52
154735,"Northampton County, NC",44.44
154753,"Onslow County, NC",54.15
154852,"Orange County, NC",46.87
154939,"Pamlico County, NC",44.39
154957,"Pasquotank County, NC",47.26
154990,"Pender County, NC",46.08
155041,"Perquimans County, NC",47.14
155053,"Person County, NC",49.14
155077,"Pitt County, NC",49.7
155176,"Polk County, NC",42.38
155200,"Randolph County, NC",47.49
155287,"Richmond County, NC",47.65
155323,"Robeson County, NC",47.11
155419,"Rockingham County, NC",45.9
155485,"Rowan County, NC",46.99
155578,"Rutherford County, NC",46.45
155620,"Sampson County, NC",48.48
155656,"Scotland County, NC",48.61
155680,"Stanly County, NC",47.74
155722,"Stokes County, NC",47.35
155752,"Surry County, NC",44.06
155821,"Swain County, NC",45.96
155839,"Transylvania County, NC",43.66
155863,"Tyrrell County, NC",52.66
155869,"Union County, NC",45.15
155995,"Vance County, NC",47.9
156028,"Wake County, NC",49.54
156592,"Warren County, NC",50.62
156613,"Washington County, NC",45.52
156625,"Watauga County, NC",50.66
156667,"Wayne County, NC",48.28
156748,"Wilkes County, NC",46.07
156793,"Wilson County, NC",46.44
156853,"Yadkin County, NC",44.51
156877,"Yancey County, NC",46.28
156895,"Adams County, ND",38.58
156901,"Barnes County, ND",43.48
156916,"Benson County, ND",45.04
156931,"Billings County, ND",40.81
156937,"Bottineau County, ND",41.46
156949,"Bowman County, ND",43.27
156958,"Burke County, ND",35.62
156964,"Burleigh County, ND",51.61
157024,"Cass County, ND",57.89
157126,"Cavalier County, ND",41.45
157135,"Dickey County, ND",43.73
157147,"Divide County, ND",48.84
157153,"Dunn County, ND",49.98
157159,"Eddy County, ND",38.48
157165,"Emmons County, ND",47.41
157171,"Foster County, ND",39.93
157177,"Golden Valley County, ND",41.99
157183,"Grand Forks County, ND",61.89
157240,"Grant County, ND",43.89
157246,"Griggs County, ND",39.34
157252,"Hettinger County, ND",39.35
157261,"Kidder County, ND",37.43
157267,"LaMoure County, ND",39.83
157276,"Logan County, ND",40.94
157282,"McHenry County, ND",38.46
157291,"McIntosh County, ND",39.81
157297,"McKenzie County, ND",53.23
157312,"McLean County, ND",49.86
157321,"Mercer County, ND",46.53
157333,"Morton County, ND",43.6
157351,"Mountrail County, ND",56.27
157363,"Nelson County, ND",37.3
157369,"Oliver County, ND",38.99
157375,"Pembina County, ND",42.36
157393,"Pierce County, ND",45.56
157402,"Ramsey County, ND",44.18
157414,"Ransom County, ND",41.88
157426,"Renville County, ND",44.1
157432,"Richland County, ND",46.65
157453,"Rolette County, ND",53.85
157468,"Sargent County, ND",37.98
157477,"Sheridan County, ND",39.88
157483,"Sioux County, ND",52.68
157492,"Slope County, ND",40.76
157498,"Stark County, ND",50.86
157525,"Steele County, ND",43.41
157531,"Stutsman County, ND",48.22
157552,"Towner County, ND",44.62
157558,"Traill County, ND",44.55
157573,"Walsh County, ND",43.52
157594,"Ward County, ND",53.2
157636,"Wells County, ND",46.96
157645,"Williams County, ND",59.1
157669,"Adams County, OH",46.47
157690,"Allen County, OH",47.29
157792,"Ashland County, OH",44.28
157828,"Ashtabula County, OH",43.82
157909,"Athens County, OH",47.71
157957,"Auglaize County, OH",44.33
157993,"Belmont County, OH",49.07
158056,"Brown County, OH",46.05
158086,"Butler County, OH",47.67
158329,"Carroll County, OH",43.27
158353,"Champaign County, OH",47.0
158386,"Clark County, OH",49.82
158521,"Clermont County, OH",44.11
158644,"Clinton County, OH",46.25
158674,"Columbiana County, OH",46.47
158749,"Coshocton County, OH",46.45
158782,"Crawford County, OH",44.65
158824,"Cuyahoga County, OH",51.92
160168,"Darke County, OH",44.04
160207,"Defiance County, OH",45.17
160237,"Delaware County, OH",42.0
160345,"Erie County, OH",47.46
160405,"Fairfield County, OH",47.87
160492,"Fayette County, OH",47.37
160516,"Franklin County, OH",57.45
161371,"Fulton County, OH",46.3
161401,"Gallia County, OH",44.32
161425,"Geauga County, OH",41.6
161491,"Greene County, OH",46.35
161599,"Guernsey County, OH",48.32
161632,"Hamilton County, OH",50.69
162301,"Hancock County, OH",46.89
162343,"Hardin County, OH",44.34
162367,"Harrison County, OH",48.71
162385,"Henry County, OH",43.87
162409,"Highland County, OH",47.67
162439,"Hocking County, OH",47.03
162463,"Holmes County, OH",46.4
162490,"Huron County, OH",48.26
162532,"Jackson County, OH",49.62
162556,"Jefferson County, OH",46.95
162628,"Knox County, OH",42.96
162667,"Lake County, OH",46.8
162847,"Lawrence County, OH",49.05
162898,"Licking County, OH",45.09
162997,"Logan County, OH",45.63
163033,"Lorain County, OH",46.97
163258,"Lucas County, OH",50.84
163645,"Madison County, OH",47.02
163684,"Mahoning County, OH",44.42
163897,"Marion County, OH",48.72
163954,"Medina County, OH",39.94
164068,"Meigs County, OH",47.89
164089,"Mercer County, OH",42.69
164119,"Miami County, OH",45.55
164185,"Monroe County, OH",44.47
164200,"Montgomery County, OH",49.7
164662,"Morgan County, OH",43.63
164677,"Morrow County, OH",44.41
164698,"Muskingum County, OH",46.65
164758,"Noble County, OH",39.93
164770,"Ottawa County, OH",43.77
164812,"Paulding County, OH",45.96
164830,"Perry County, OH",45.76
164851,"Pickaway County, OH",47.28
164893,"Pike County, OH",42.28
164914,"Portage County, OH",44.39
165022,"Preble County, OH",45.96
165061,"Putnam County, OH",43.11
165085,"Richland County, OH",45.25
165178,"Ross County, OH",45.33
165232,"Sandusky County, OH",44.63
165280,"Scioto County, OH",47.87
165343,"Seneca County, OH",47.3
165388,"Shelby County, OH",45.04
165421,"Stark County, OH",46.55
165682,"Summit County, OH",48.84
166090,"Trumbull County, OH",43.7
166258,"Tuscarawas County, OH",43.88
166324,"Union County, OH",41.93
166357,"Van Wert County, OH",43.95
166387,"Vinton County, OH",43.07
166399,"Warren County, OH",42.1
166501,"Washington County, OH",46.0
166552,"Wayne County, OH",45.34
166651,"Williams County, OH",45.63
166681,"Wood County, OH",45.52
166768,"Wyandot County, OH",43.67
166789,"Adair County, OK",49.35
166807,"Alfalfa County, OK",47.9
166819,"Atoka County, OK",51.37
166834,"Beaver County, OK",51.14
166846,"Beckham County, OK",49.07
166861,"Blaine County, OK",48.89
166879,"Bryan County, OK",50.62
166915,"Caddo County, OK",49.63
166942,"Canadian County, OK",54.36
167032,"Carter County, OK",48.21
167068,"Cherokee County, OK",51.11
167098,"Choctaw County, OK",47.05
167116,"Cimarron County, OK",49.79
167125,"Cleveland County, OK",55.24
167314,"Coal County, OK",45.49
167323,"Comanche County, OK",56.27
167422,"Cotton County, OK",51.87
167431,"Craig County, OK",49.26
167449,"Creek County, OK",47.86
167515,"Custer County, OK",54.78
167533,"Delaware County, OK",48.11
167563,"Dewey County, OK",48.84
167575,"Ellis County, OK",43.86
167584,"Garfield County, OK",51.1
167623,"Garvin County, OK",48.34
167653,"Grady County, OK",49.09
167686,"Grant County, OK",49.77
167695,"Greer County, OK",55.33
167704,"Harmon County, OK",55.35
167710,"Harper County, OK",49.88
167719,"Haskell County, OK",51.38
167734,"Hughes County, OK",49.32
167752,"Jackson County, OK",48.68
167779,"Jefferson County, OK",46.15
167791,"Johnston County, OK",50.03
167803,"Kay County, OK",48.03
167839,"Kingfisher County, OK",43.01
167854,"Kiowa County, OK",45.23
167866,"Latimer County, OK",48.8
167878,"Le Flore County, OK",50.13
167917,"Lincoln County, OK",49.68
167941,"Logan County, OK",45.2
167968,"Love County, OK",51.6
167980,"McClain County, OK",48.75
168001,"McCurtain County, OK",48.51
168028,"McIntosh County, OK",50.02
168049,"Major County, OK",46.4
168061,"Marshall County, OK",48.25
168076,"Mayes County, OK",51.83
168106,"Murray County, OK",44.37
168118,"Muskogee County, OK",50.4
168169,"Noble County, OK",47.39
168184,"Nowata County, OK",49.19
168199,"Okfuskee County, OK",48.81
168214,"Oklahoma County, OK",52.99
168940,"Okmulgee County, OK",48.97
168973,"Osage County, OK",48.6
169009,"Ottawa County, OK",48.77
169039,"Pawnee County, OK",47.91
169057,"Payne County, OK",49.76
169111,"Pittsburg County, OK",46.51
169153,"Pontotoc County, OK",49.96
169186,"Pottawatomie County, OK",49.21
169237,"Pushmataha County, OK",47.95
169249,"Roger Mills County, OK",39.7
169255,"Rogers County, OK",49.82
169342,"Seminole County, OK",53.18
169372,"Sequoyah County, OK",47.15
169402,"Stephens County, OK",47.21
169438,"Texas County, OK",53.46
169456,"Tillman County, OK",49.38
169474,"Tulsa County, OK",51.46
170002,"Wagoner County, OK",48.55
170071,"Washington County, OK",48.14
170113,"Washita County, OK",51.57
170128,"Woods County, OK",54.06
170140,"Woodward County, OK",48.55
170158,"Baker County, OR",48.42
170179,"Benton County, OR",54.53
170236,"Clackamas County, OR",54.44
170479,"Clatsop County, OR",50.49
170518,"Columbia County, OR",49.66
170551,"Coos County, OR",50.15
170596,"Crook County, OR",49.91
170611,"Curry County, OR",49.17
170632,"Deschutes County, OR",50.64
170707,"Douglas County, OR",50.78
170779,"Gilliam County, OR",53.33
170785,"Grant County, OR",47.44
170794,"Harney County, OR",46.26
170803,"Hood River County, OR",58.93
170818,"Jackson County, OR",54.74
170944,"Jefferson County, OR",53.65
170965,"Josephine County, OR",51.74
171016,"Klamath County, OR",51.58
171079,"Lake County, OR",46.23
171088,"Lane County, OR",58.04
171352,"Lincoln County, OR",50.37
171409,"Linn County, OR",53.19
171475,"Malheur County, OR",50.88
171502,"Marion County, OR",61.76
171679,"Morrow County, OR",53.99
171688,"Multnomah County, OR",67.55
172204,"Polk County, OR",53.89
172243,"Sherman County, OR",50.41
172249,"Tillamook County, OR",49.19
172279,"Umatilla County, OR",50.75
172327,"Union County, OR",48.16
172354,"Wallowa County, OR",51.02
172366,"Wasco County, OR",52.12
172393,"Washington County, OR",65.55
172708,"Wheeler County, OR",45.11
172714,"Yamhill County, OR",56.43
172768,"Adams County, PA",46.55
172840,"Allegheny County, PA",51.96
174049,"Armstrong County, PA",45.91
174109,"Beaver County, PA",45.68
174265,"Bedford County, PA",44.21
174301,"Berks County, PA",48.35
174574,"Blair County, PA",47.1
174679,"Bradford County, PA",43.29
174724,"Bucks County, PA",48.91
175156,"Butler County, PA",42.96
175291,"Cambria County, PA",43.64
175420,"Cameron County, PA",45.55
175429,"Carbon County, PA",44.87
175468,"Centre County, PA",48.0
175564,"Chester County, PA",43.89
175915,"Clarion County, PA",43.02
175948,"Clearfield County, PA",43.46
176011,"Clinton County, PA",45.11
176041,"Columbia County, PA",46.28
176089,"Crawford County, PA",46.39
176161,"Cumberland County, PA",46.0
176311,"Dauphin County, PA",49.1
176509,"Delaware County, PA",57.0
176944,"Elk County, PA",40.15
176974,"Erie County, PA",48.88
177193,"Fayette County, PA",46.09
177304,"Forest County, PA",38.21
177316,"Franklin County, PA",46.82
177400,"Fulton County, PA",43.56
177412,"Greene County, PA",44.77
177442,"Huntingdon County, PA",43.53
177481,"Indiana County, PA",47.29
177553,"Jefferson County, PA",43.55
177595,"Juniata County, PA",41.87
177613,"Lackawanna County, PA",50.2
177793,"Lancaster County, PA",47.06
178090,"Lawrence County, PA",44.45
178177,"Lebanon County, PA",51.47
178273,"Lehigh County, PA",52.86
178504,"Luzerne County, PA",50.38
178819,"Lycoming County, PA",47.45
178909,"Mc Kean County, PA",45.41
178948,"Mercer County, PA",44.24
179041,"Mifflin County, PA",45.7
179080,"Monroe County, PA",46.67
179182,"Montgomery County, PA",50.81
179818,"Montour County, PA",44.08
179833,"Northampton County, PA",49.34
180040,"Northumberland County, PA",44.79
180115,"Perry County, PA",45.33
180148,"Philadelphia County, PA",60.62
181303,"Pike County, PA",46.64
181360,"Potter County, PA",45.95
181378,"Schuylkill County, PA",48.5
181501,"Snyder County, PA",42.67
181528,"Somerset County, PA",44.82
181594,"Sullivan County, PA",41.64
181603,"Susquehanna County, PA",45.9
181639,"Tioga County, PA",42.68
181672,"Union County, PA",44.3
181705,"Venango County, PA",47.23
181756,"Warren County, PA",45.52
181798,"Washington County, PA",45.36
181978,"Wayne County, PA",43.22
182023,"Westmoreland County, PA",43.59
182326,"Wyoming County, PA",43.4
182350,"York County, PA",45.5
182623,"Bristol County, RI",43.21
182659,"Kent County, RI",47.65
182779,"Newport County, RI",46.6
182851,"Providence County, RI",56.24
183277,"Washington County, RI",43.75
183370,"Abbeville County, SC",45.75
183391,"Aiken County, SC",47.08
183493,"Allendale County, SC",46.89
183505,"Anderson County, SC",44.77
183625,"Bamberg County, SC",43.42
183640,"Barnwell County, SC",49.75
183661,"Beaufort County, SC",46.3
183787,"Berkeley County, SC",51.15
183925,"Calhoun County, SC",50.88
183937,"Charleston County, SC",47.2
184198,"Cherokee County, SC",47.2
184240,"Chester County, SC",46.0
184276,"Chesterfield County, SC",47.18
184309,"Clarendon County, SC",46.89
184348,"Colleton County, SC",48.24
184381,"Darlington County, SC",47.19
184432,"Dillon County, SC",48.22
184453,"Dorchester County, SC",49.41
184531,"Edgefield County, SC",48.3
184552,"Fairfield County, SC",48.81
184570,"Florence County, SC",47.65
184672,"Georgetown County, SC",44.98
184720,"Greenville County, SC",45.91
185056,"Greenwood County, SC",44.19
185101,"Hampton County, SC",47.28
185119,"Horry County, SC",46.31
185338,"Jasper County, SC",51.58
185356,"Kershaw County, SC",47.09
185404,"Lancaster County, SC",42.71
185449,"Laurens County, SC",47.32
185503,"Lee County, SC",47.97
185527,"Lexington County, SC",46.91
185752,"McCormick County, SC",41.66
185764,"Marion County, SC",47.88
185791,"Marlboro County, SC",43.87
185815,"Newberry County, SC",47.14
185842,"Oconee County, SC",45.1
185890,"Orangeburg County, SC",49.11
185953,"Pickens County, SC",47.87
186040,"Richland County, SC",51.55
186310,"Saluda County, SC",48.24
186328,"Spartanburg County, SC",46.9
186538,"Sumter County, SC",47.66
186610,"Union County, SC",47.79
186640,"Williamsburg County, SC",50.11
186676,"York County, SC",46.02
186817,"Aurora County, SD",44.34
186823,"Beadle County, SD",46.31
186844,"Bennett County, SD",49.48
186853,"Bon Homme County, SD",49.53
186862,"Brookings County, SD",48.58
186883,"Brown County, SD",48.7
186910,"Brule County, SD",38.98
186919,"Buffalo County, SD",52.55
186925,"Butte County, SD",48.06
186934,"Campbell County, SD",44.95
186940,"Charles Mix County, SD",45.83
186952,"Clark County, SD",48.78
186958,"Clay County, SD",51.25
186970,"Codington County, SD",48.49
186994,"Corson County, SD",52.51
187003,"Custer County, SD",41.18
187012,"Davison County, SD",54.07
187027,"Day County, SD",41.65
187039,"Deuel County, SD",37.7
187048,"Dewey County, SD",53.64
187057,"Douglas County, SD",48.11
187063,"Edmunds County, SD",44.32
187072,"Fall River County, SD",42.58
187081,"Faulk County, SD",34.84
187087,"Grant County, SD",41.27
187096,"Gregory County, SD",39.96
187105,"Haakon County, SD",36.5
187111,"Hamlin County, SD",41.58
187120,"Hand County, SD",48.28
187129,"Hanson County, SD",44.4
187135,"Harding County, SD",42.53
187141,"Hughes County, SD",45.18
187156,"Hutchinson County, SD",39.31
187168,"Hyde County, SD",47.74
187174,"Jackson County, SD",44.15
187183,"Jerauld County, SD",46.94
187189,"Jones County, SD",44.94
187195,"Kingsbury County, SD",44.16
187204,"Lake County, SD",41.59
187216,"Lawrence County, SD",45.91
187234,"Lincoln County, SD",47.4
187270,"Lyman County, SD",45.44
187279,"McCook County, SD",38.97
187288,"McPherson County, SD",40.63
187294,"Marshall County, SD",42.16
187300,"Meade County, SD",45.33
187318,"Mellette County, SD",42.02
187324,"Miner County, SD",46.9
187330,"Minnehaha County, SD",57.31
187459,"Moody County, SD",45.61
187468,"Oglala Lakota County, SD",50.55
187480,"Pennington County, SD",46.68
187552,"Perkins County, SD",45.96
187558,"Potter County, SD",43.5
187564,"Roberts County, SD",44.4
187579,"Sanborn County, SD",44.63
187585,"Spink County, SD",42.81
187597,"Stanley County, SD",46.33
187603,"Sully County, SD",34.41
187609,"Todd County, SD",45.55
187618,"Tripp County, SD",45.77
187627,"Turner County, SD",39.0
187636,"Union County, SD",48.43
187648,"Walworth County, SD",43.96
187657,"Yankton County, SD",44.2
187675,"Ziebach County, SD",50.26
187681,"Anderson County, TN",44.5
187738,"Bedford County, TN",46.69
187768,"Benton County, TN",45.07
187786,"Bledsoe County, TN",42.6
187798,"Blount County, TN",45.17
187885,"Bradley County, TN",46.19
187945,"Campbell County, TN",46.55
